Wavenumber,Transmittance
1398.41546,0.74884
1399.37989,0.75047
1400.34431,0.75237
1401.30874,0.75156
1402.27316,0.74684
1403.23758,0.74571
1404.20201,0.75011
1405.16643,0.75381
1406.13086,0.75324
1407.09528,0.7535
1408.05971,0.75077
1409.02413,0.74828
1409.98856,0.74576
1410.95298,0.74586
1411.9174,0.74393
1412.88183,0.74162
1413.84625,0.73839
1414.81068,0.73391
1415.7751,0.728
1416.73953,0.72213
1417.70395,0.73462
1418.66838,0.75905
1419.6328,0.76151
1420.59722,0.75751
1421.56165,0.75826
1422.52607,0.7689
1423.4905,0.78436
1424.45492,0.78997
1425.41935,0.79591
1426.38377,0.79871
1427.3482,0.79518
1428.31262,0.79615
1429.27704,0.80662
1430.24147,0.80438
1431.20589,0.80024
1432.17032,0.79856
1433.13474,0.79114
1434.09917,0.77297
1435.06359,0.77164
1436.02802,0.78613
1436.99244,0.78589
1437.95686,0.78215
1438.92129,0.77987
1439.88571,0.77685
1440.85014,0.77524
1441.81456,0.77199
1442.77899,0.76771
1443.74341,0.76347
1444.70784,0.75671
1445.67226,0.7457
1446.63668,0.74572
1447.60111,0.74795
1448.56553,0.73793
1449.52996,0.72793
1450.49438,0.71685
1451.45881,0.70676
1452.42323,0.68791
1453.38766,0.66685
1454.35208,0.64055
1455.3165,0.62828
1456.28093,0.63727
1457.24535,0.63827
1458.20978,0.64437
1459.1742,0.64173
1460.13863,0.63673
1461.10305,0.62977
1462.06748,0.61436
1463.0319,0.60251
1463.99632,0.60472
1464.96075,0.59163
1465.92517,0.57879
1466.8896,0.5794
1467.85402,0.58616
1468.81845,0.59752
1469.78287,0.61089
1470.7473,0.64578
1471.71172,0.70052
1472.67614,0.74649
1473.64057,0.75397
1474.60499,0.76669
1475.56942,0.79807
1476.53384,0.80664
1477.49827,0.81026
1478.46269,0.81442
1479.42712,0.81816
1480.39154,0.82661
1481.35596,0.83008
1482.32039,0.83256
1483.28481,0.8332
1484.24924,0.82677
1485.21366,0.82004
1486.17809,0.82462
1487.14251,0.81648
1488.10694,0.80642
1489.07136,0.82209
1490.03579,0.83928
1491.00021,0.83775
1491.96463,0.83325
1492.92906,0.8265
1493.89348,0.81325
1494.85791,0.82109
1495.82233,0.82359
1496.78676,0.81732
1497.75118,0.82507
1498.71561,0.82823
1499.68003,0.82513
1500.64445,0.82852
1501.60888,0.8278
1502.5733,0.81505
1503.53773,0.80725
1504.50215,0.81611
1505.46658,0.82078
1506.431,0.82465
1507.39543,0.82529
1508.35985,0.82807
1509.32427,0.83065
1510.2887,0.82983
1511.25312,0.84103
1512.21755,0.84244
1513.18197,0.83717
1514.1464,0.83306
1515.11082,0.8307
1516.07525,0.84359
1517.03967,0.84812
1518.00409,0.83951
1518.96852,0.84024
1519.93294,0.84654
1520.89737,0.85209
1521.86179,0.85555
