Wavelength,Transmittance
1575.84267,0.88106
1577.77149,0.87053
1579.7003,0.88727
1581.62912,0.89417
1583.55794,0.89139
1585.48675,0.89041
1587.41557,0.88831
1589.34438,0.88628
1591.2732,0.88302
1593.20202,0.87788
1595.13083,0.87204
1597.05965,0.86957
1598.98846,0.867
1600.91728,0.86042
1602.8461,0.85367
1604.77491,0.84885
1606.70373,0.84047
1608.63254,0.82957
1610.56136,0.82964
1612.49018,0.83965
1614.41899,0.82336
1616.34781,0.7954
1618.27662,0.79131
1620.20544,0.80285
1622.13426,0.79362
1624.06307,0.78058
1625.99189,0.77558
1627.9207,0.77431
1629.84952,0.78525
1631.77834,0.80449
1633.70715,0.78192
1635.63597,0.7457
1637.56478,0.73662
1639.4936,0.76234
1641.42242,0.78726
1643.35123,0.79568
1645.28005,0.77338
1647.20886,0.76918
1649.13768,0.80589
1651.0665,0.79574
1652.99531,0.75068
1654.92413,0.74558
1656.85294,0.79994
1658.78176,0.82681
1660.71058,0.82224
1662.63939,0.81972
1664.56821,0.83873
1666.49702,0.85394
1668.42584,0.84122
1670.35466,0.83807
1672.28347,0.84736
1674.21229,0.84882
1676.1411,0.84979
1678.06992,0.87428
1679.99874,0.90349
1681.92755,0.88135
1683.85637,0.85005
1685.78518,0.84623
1687.714,0.8753
1689.64282,0.89565
1691.57163,0.9197
1693.50045,0.92583
1695.42926,0.92326
1697.35808,0.90418
1699.2869,0.88517
1701.21571,0.8805
1703.14453,0.89563
1705.07334,0.90102
1707.00216,0.8969
1708.93098,0.91273
1710.85979,0.93107
1712.78861,0.94211
1714.71742,0.92454
1716.64624,0.89231
1718.57506,0.8861
1720.50387,0.9083
1722.43269,0.92521
1724.3615,0.93057
1726.29032,0.93835
1728.21914,0.94923
1730.14795,0.95328
1732.07677,0.92654
1734.00558,0.90584
1735.9344,0.91411
1737.86322,0.93459
1739.79203,0.93159
1741.72085,0.92915
1743.64966,0.93982
1745.57848,0.94632
1747.5073,0.94021
1749.43611,0.92294
1751.36493,0.92471
1753.29374,0.94112
1755.22256,0.95125
1757.15138,0.95345
1759.08019,0.95141
1761.00901,0.94607
1762.93782,0.9482
1764.86664,0.96043
1766.79546,0.96988
1768.72427,0.96487
1770.65309,0.9457
1772.5819,0.92937
1774.51072,0.93517
1776.43954,0.95335
1778.36835,0.95515
1780.29717,0.95253
1782.22598,0.95046
1784.1548,0.95281
1786.08362,0.96226
1788.01243,0.97471
1789.94125,0.96596
1791.87006,0.94755
1793.79888,0.94615
1795.7277,0.96166
1797.65651,0.96516
1799.58533,0.95581
1801.51414,0.94991
1803.44296,0.95501
1805.37178,0.96351
1807.30059,0.96396
1809.22941,0.95661
1811.15822,0.95218
1813.08704,0.95606
1815.01586,0.96095
1816.94467,0.96189
1818.87349,0.96585
1820.8023,0.97227
1822.73112,0.96998
1824.65994,0.96882
1826.58875,0.96642
1828.51757,0.95778
1830.44638,0.95075
1832.3752,0.95774
1834.30402,0.96543
1836.23283,0.96359
1838.16165,0.96937
1840.09046,0.9782
1842.01928,0.96831
1843.9481,0.95012
1845.87691,0.94515
1847.80573,0.95531
1849.73454,0.9618
1851.66336,0.96507
1853.59218,0.96725
1855.52099,0.96813
1857.44981,0.96821
1859.37862,0.96796
1861.30744,0.97156
1863.23626,0.9795
1865.16507,0.97883
1867.09389,0.96184
1869.0227,0.94812
1870.95152,0.95179
1872.88034,0.96219
1874.80915,0.96448
1876.73797,0.96374
1878.66678,0.96414
1880.5956,0.96521
1882.52442,0.96674
1884.45323,0.97072
1886.38205,0.9706
1888.31086,0.96509
1890.23968,0.9627
1892.1685,0.96505
1894.09731,0.96501
1896.02613,0.96268
1897.95494,0.96403
1899.88376,0.96515
1901.81258,0.9649
1903.74139,0.96566
1905.67021,0.96529
1907.59902,0.96103
1909.52784,0.95737
1911.45666,0.96022
1913.38547,0.96695
1915.31429,0.96485
1917.2431,0.95935
1919.17192,0.95757
1921.10074,0.95737
1923.02955,0.95576
1924.95837,0.95731
1926.88718,0.96167
1928.816,0.96196
1930.74482,0.96065
1932.67363,0.95895
1934.60245,0.95788
1936.53126,0.95977
1938.46008,0.96138
1940.3889,0.95552
1942.31771,0.9478
1944.24653,0.94604
1946.17534,0.95025
1948.10416,0.9526
1950.03298,0.95405
1951.96179,0.95431
1953.89061,0.95378
1955.81942,0.95339
1957.74824,0.95333
1959.67706,0.95314
1961.60587,0.95398
1963.53469,0.95316
1965.4635,0.94842
1967.39232,0.94435
1969.32114,0.94488
1971.24995,0.9469
1973.17877,0.94669
1975.10758,0.94608
1977.0364,0.94584
1978.96522,0.9458
1980.89403,0.94596
1982.82285,0.94665
1984.75166,0.94732
1986.68048,0.94816
1988.6093,0.94664
1990.53811,0.94209
1992.46693,0.9394
1994.39574,0.94084
1996.32456,0.94278
1998.25338,0.94173
2000.18219,0.94064
2002.11101,0.94002
2004.03982,0.93946
2005.96864,0.93846
2007.89746,0.93757
2009.82627,0.93746
2011.75509,0.93871
2013.6839,0.93851
2015.61272,0.93593
2017.54154,0.93396
2019.47035,0.93475
2021.39917,0.93598
2023.32798,0.93583
2025.2568,0.93521
2027.18562,0.93455
2029.11443,0.9336
2031.04325,0.93238
2032.97206,0.93095
2034.90088,0.93007
2036.8297,0.92984
2038.75851,0.92922
2040.68733,0.92821
2042.61614,0.92777
2044.54496,0.92801
2046.47378,0.92826
2048.40259,0.92868
2050.33141,0.9296
2052.26022,0.9305
2054.18904,0.93103
2056.11786,0.93083
2058.04667,0.93031
2059.97549,0.93007
2061.9043,0.92928
2063.83312,0.92782
2065.76194,0.9272
2067.69075,0.92792
2069.61957,0.92851
2071.54838,0.92809
2073.4772,0.92763
2075.40602,0.92737
2077.33483,0.92748
2079.26365,0.92782
2081.19246,0.92855
2083.12128,0.92948
2085.0501,0.93031
2086.97891,0.93017
2088.90773,0.92922
2090.83654,0.92821
2092.76536,0.92753
2094.69418,0.92685
2096.62299,0.9262
2098.55181,0.9258
2100.48062,0.92553
2102.40944,0.92507
2104.33826,0.92419
2106.26707,0.92302
2108.19589,0.92223
2110.1247,0.92216
2112.05352,0.92264
2113.98234,0.92343
2115.91115,0.92432
2117.83997,0.92474
2119.76878,0.92422
2121.6976,0.92284
2123.62642,0.92131
2125.55523,0.92018
2127.48405,0.9199
2129.41286,0.92036
2131.34168,0.92122
2133.2705,0.92155
2135.19931,0.92093
2137.12813,0.91955
2139.05694,0.91833
2140.98576,0.91805
2142.91458,0.91922
2144.84339,0.92157
2146.77221,0.9242
2148.70102,0.92596
2150.62984,0.92621
2152.55866,0.92507
2154.48747,0.92346
2156.41629,0.92254
2158.3451,0.92302
2160.27392,0.92473
2162.20274,0.92694
2164.13155,0.92854
2166.06037,0.92865
2167.98918,0.92724
2169.918,0.92542
2171.84682,0.92448
2173.77563,0.92536
2175.70445,0.92798
2177.63326,0.93141
2179.56208,0.93426
2181.4909,0.93551
2183.41971,0.93487
2185.34853,0.93307
2187.27734,0.93151
2189.20616,0.93138
2191.13498,0.9329
2193.06379,0.9353
2194.99261,0.93724
2196.92142,0.93762
2198.85024,0.93616
2200.77906,0.93357
2202.70787,0.93112
2204.63669,0.93013
2206.5655,0.9312
2208.49432,0.93388
2210.42314,0.93683
2212.35195,0.9388
2214.28077,0.93911
2216.20958,0.93792
2218.1384,0.93593
2220.06722,0.93417
2221.99603,0.93341
2223.92485,0.93388
2225.85366,0.93517
2227.78248,0.93649
2229.7113,0.93707
2231.64011,0.93656
2233.56893,0.93507
2235.49774,0.93323
2237.42656,0.9319
2239.35538,0.93191
2241.28419,0.93354
2243.21301,0.93627
2245.14182,0.93902
2247.07064,0.94075
2248.99946,0.94086
2250.92827,0.9395
2252.85709,0.93749
2254.7859,0.93614
2256.71472,0.93594
2258.64354,0.93674
2260.57235,0.93787
2262.50117,0.93884
2264.42998,0.93912
2266.3588,0.93852
2268.28762,0.93725
2270.21643,0.93584
2272.14525,0.93507
2274.07406,0.93533
2276.00288,0.93656
2277.9317,0.93831
2279.86051,0.94006
2281.78933,0.94102
2283.71814,0.94075
2285.64696,0.93933
2287.57578,0.93768
2289.50459,0.93666
2291.43341,0.93673
